imdbid,book_id,title,author,year,full_name,budget,revenue,runtime,poster_path,rating_average,vote_count,standardized_rating,normalized_rating,goodreads_scale_rating
tt0085843,6880324.0,Eine Liebe in Deutschland,Rolf Hochhuth,1983.0,A Love in Germany 1983,0,0,132.0,/e7UlyH4bza9fT7nptDXeXdeASLr.jpg,6.8,293.0,0.274004863261962,0.661971830985915,3.4
tt0051864,769000.0,The Light in the Forest,Conrad Richter,1958.0,The Light in the Forest 1958,0,0,83.0,/sQCcaqyvViA7AWGnwEsYleeaq8v.jpg,6.6,437.0,0.0761782725929433,0.633802816901408,3.3
tt0021070,121264.0,The Light of Western Stars,Zane Grey,1930.0,The Light of Western Stars 1930,0,0,70.0,/xELCouue98xDVfi35RD1EVI7DFq.jpg,7.2,124.0,0.669658044599998,0.71830985915493,3.6
tt0032706,121264.0,The Light of Western Stars,Zane Grey,1940.0,The Light of Western Stars 1940,0,0,64.0,/4BAo5BZMaULUTiudEfXkWCMJLme.jpg,5.7,89.0,-0.814041385417638,0.507042253521127,2.85
tt0021079,876847.0,Little Caesar,W. R. Burnett,1931.0,Little Caesar 1931,0,0,79.0,/pk313GaluiVstxTvnVwtAInUUo.jpg,7.3,10523.0,0.768571339934507,0.732394366197183,3.65
tt0069792,876847.0,Little Caesar,W. R. Burnett,1973.0,Black Caesar 1973,0,0,94.0,/9Qe1pEtRdCfBkp5I5bIKY4wASrl.jpg,6.4,2665.0,-0.121648318076074,0.605633802816901,3.2
tt0087629,3368196.0,The Little Drummer Girl,John le Carré,1984.0,The Little Drummer Girl 1984,0,0,130.0,/1Ur8qZXwv6IU2HPiDcgOrg5ssc5.jpg,6.1,1775.0,-0.418388204079602,0.563380281690141,3.05
tt0070328,3763.0,Live and Let Die,Ian Fleming,1973.0,Live and Let Die 1973,7000000,161777836,121.0,/p34OScaro2KdISrT4EMfeh1aS0E.jpg,6.8,86316.0,0.274004863261962,0.661971830985915,3.4
tt0118819,1022778.0,Live Flesh,Ruth Rendell,1997.0,Live Flesh 1997,0,1535558,103.0,/6fpt82Sfpkzw4dZgKgZMVFoaMBb.jpg,7.4,25651.0,0.867484635269017,0.746478873239437,3.7
tt0138487,1208928.0,Loaded,Christos Tsiolkas,1998.0,Head On 1998,0,378667,104.0,/gZK8dQVXdpdHIxPYWd0HNk4I75V.jpg,6.4,3744.0,-0.121648318076074,0.605633802816901,3.2
tt0056173,557406.0,Lobo,Ernest Thompson Seton,1962.0,The Legend of Lobo 1962,0,0,67.0,/wkR7Tpo4PX20G4IBtLYIpiyVFSx.jpg,7.1,399.0,0.570744749265489,0.704225352112676,3.55
tt0074812,73654.0,Logan's Run,William F. Nolan,1976.0,Logan's Run 1976,9000000,25000000,119.0,/iBtkwot48QkgYpPfjceCgyK1Rhz.jpg,6.8,46556.0,0.274004863261962,0.661971830985915,3.4
tt0056193,7604.0,Lolita,Vladimir Nabokov,1962.0,Lolita 1962,2000000,9250000,153.0,/qec7MIvPSgqc1sQ5lPJhKCjJfjw.jpg,7.6,81292.0,1.06531122593803,0.774647887323944,3.8
tt0119558,7604.0,Lolita,Vladimir Nabokov,1997.0,Lolita 1997,62000000,1060056,137.0,/v7ZRAYz0WZrMQ1MH34cSFvC8drq.jpg,6.9,45955.0,0.372918158596471,0.676056338028169,3.45
tt0014209,121271.0,The Lone Star Ranger,Zane Grey,1923.0,The Lone Star Ranger 1923,0,0,,/kMZyQuBV3oWqHYpKrA6LXN1hjnv.jpg,,,,,
